timepoint,hsp-16.2,hsp-70,hsp-4,gst-4,ctl-1,ctl-2,atg-18,lgg-1,bec-1,sip-1,myo-5,gpx-7,lmd-3,ama-1,act-1,cdc-42,pms-2,wwp-1,rbx-1,cul-4,fsn-1,uba-1,hsp-3,hsp-17,hsp-43,hsp-1,hsp-60,atfs-1,kreg-1,F53A9.6,F22H10.2,fbxa-60,gpx-1,cdr-4,R12E2.13,fipr-24,mev-1,fbxa-59,fnci-1,F45E1.4,Y73B6BL.14,F42A6.5,ubql-1,xpc-1,chaf-2,sti-1,jnk-1,natc-1,hsp-16.48,scl-1,prdx-2,gst-10,F43C11.7,tiar-2,tiar-1,ife-2,tdp-1,hsp-110,pept-1,kgb-1,che-11,xbp-1,hcf-1,nlp-7,clk-2,hpk-1,skpo-1,parp-1,frh-1,xpa-1,mek-1,bar-1,cep-1,elt-3,fkh-9,apy-1,crt-1,F41B4.3,ech-3,irld-6,sdz-35,F22E5.6,lips-11
d1,0.9074492,1.7328819,3.0060196,0.0015048909,0.0007524454,0.0015048909,0.25432655,1.9337848,0.03160271,0.0022573364,0.0030097817,0.0015048909,0.4552295,0.0331076,0.10609481,0.15650865,0.0007524454,0.15349887,0.0662152,0.012039127,0.055680964,0.14221218,1.1346878,0.0,0.0,2.4462001,0.028592927,0.09179834,0.0,0.0,0.0,0.0007524454,0.0030097817,0.13318284,0.18359669,0.0030097817,0.36343116,0.0007524454,0.018811136,0.0007524454,0.009029346,0.0,0.5583145,0.012791573,0.0007524454,0.08126411,0.25884125,0.036869828,0.0015048909,0.0,0.102332585,0.0,0.0007524454,0.009029346,0.11060948,0.021820918,0.03160271,0.36719337,0.0,0.06094808,0.0007524454,7.7945824,0.018058691,0.14747931,0.0082769,0.37998495,0.005267118,0.009029346,0.0007524454,0.0331076,0.0579383,0.027840482,0.0030097817,0.0030097817,0.10082769,0.0015048909,2.663657,0.08352145,0.0015048909,0.0,0.0007524454,0.0007524454,0.0
d3,0.7287805,1.1814634,1.8146342,0.0,0.0019512195,0.0,0.20195122,2.2390244,0.028292682,0.018536584,0.0029268293,0.003902439,0.67414635,0.050731707,0.10439024,0.18146342,0.0,0.13853659,0.081951216,0.020487804,0.06341463,0.12585366,0.7531707,0.0019512195,0.00097560976,3.2,0.034146342,0.18243903,0.0,0.0019512195,0.0029268293,0.0,0.0019512195,0.09658536,0.11707317,0.004878049,0.3697561,0.00097560976,0.012682927,0.0029268293,0.008780488,0.0,0.45658538,0.020487804,0.0,0.114146344,0.44682926,0.020487804,0.00097560976,0.0,0.11902439,0.007804878,0.0,0.003902439,0.13463415,0.057560977,0.021463415,0.35804877,0.0,0.068292685,0.0019512195,5.852683,0.017560976,0.03707317,0.007804878,0.38731706,0.00097560976,0.0058536585,0.00097560976,0.015609756,0.07902439,0.00097560976,0.003902439,0.00097560976,0.26439023,0.0029268293,2.512195,0.03512195,0.0,0.0,0.00097560976,0.0,0.00097560976
d5,0.7828283,4.705387,0.6515151,0.0016835016,0.0,0.0033670033,0.23400673,2.2121212,0.060606062,0.005050505,0.0,0.0,0.5185185,0.07239057,0.4006734,0.18518518,0.0,0.16835018,0.15319866,0.026936026,0.12794612,0.2053872,0.2929293,0.0033670033,0.0033670033,2.1531987,0.015151516,0.15488215,0.0016835016,0.0,0.0,0.0,0.005050505,0.09427609,0.030303031,0.013468013,0.34848484,0.0016835016,0.028619528,0.0033670033,0.0,0.0,0.46969697,0.045454547,0.0,0.107744105,0.2912458,0.042087544,0.0,0.0,0.24915825,0.0016835016,0.0016835016,0.01010101,0.12962963,0.060606062,0.033670034,0.32828283,0.0016835016,0.06902357,0.0,4.5454545,0.030303031,0.4814815,0.013468013,0.37037036,0.0033670033,0.016835017,0.0033670033,0.06902357,0.09090909,0.015151516,0.005050505,0.0016835016,0.09259259,0.0,1.1346802,0.008417509,0.0,0.0033670033,0.0,0.0,0.0
d8,1.8452381,3.793956,0.4734432,0.0,0.0009157509,0.0,0.4065934,3.5366302,0.12820514,0.0064102565,0.0009157509,0.0009157509,0.69139194,0.12362637,0.6978022,0.3415751,0.0009157509,0.25274727,0.20054945,0.025641026,0.17399268,0.32875457,0.33791208,0.0018315018,0.0036630037,3.6739926,0.03846154,0.18040293,0.0018315018,0.0009157509,0.0018315018,0.0027472528,0.0064102565,0.15293041,0.04761905,0.0036630037,0.28663003,0.0,0.033882786,0.004578755,0.0027472528,0.0,0.76007324,0.02930403,0.0018315018,0.17857143,0.2820513,0.042124543,0.0018315018,0.0,0.2628205,0.0009157509,0.0009157509,0.0054945056,0.15476191,0.057692308,0.03846154,0.5787546,0.0,0.05952381,0.0,4.434982,0.03663004,0.3672161,0.01831502,0.61263734,0.0009157509,0.008241759,0.008241759,0.054945055,0.11630037,0.0054945056,0.0027472528,0.0,0.113553114,0.0,1.3598901,0.016483517,0.0009157509,0.0,0.0027472528,0.0,0.0
d11,0.5846154,0.8038462,0.0038461538,0.0,0.0,0.0,0.29615384,1.8153846,0.026923077,0.0,0.0,0.0,0.8153846,0.16923077,0.26923078,0.32692307,0.0,0.2423077,0.15,0.023076924,0.15769231,0.31538463,0.2653846,0.0,0.0,2.3461537,0.06538462,0.15384616,0.0,0.0,0.0038461538,0.0,0.0038461538,0.05,0.0038461538,0.0,0.13846155,0.0,0.01923077,0.0,0.0,0.0,0.5730769,0.03076923,0.0038461538,0.08076923,0.3423077,0.046153847,0.0076923077,0.0,0.046153847,0.0,0.0,0.015384615,0.2,0.034615386,0.015384615,0.34615386,0.0,0.03076923,0.0,2.4730768,0.023076924,0.011538462,0.0038461538,1.1307693,0.0,0.0076923077,0.0,0.011538462,0.06538462,0.0,0.0,0.0,0.16538462,0.0,0.9076923,0.0,0.0,0.0,0.0,0.0,0.0
